CODSABER,CODPRES,CENTRO_EDUCATIVO,TIPO_INSTITUCION,REGIONAL,PROVINCIA,CANTON,DISTRITO,POBLADO,DIRECCION,LATITUD,LONGITUD
101859-00,1685,GALLO PINTO,PÚBLICO,DIRECCIÓN REGIONAL ZONA NORTE NORTE,ALAJUELA,LOS CHILES,SAN JORGE,GALLO PINTO,200M SUR DE LA IGLESIA CATOLICA,"10,76219262","-84,70352299"
101860-00,1686,SAN ANTONIO,PÚBLICO,DIRECCIÓN REGIONAL ZONA NORTE NORTE,ALAJUELA,LOS CHILES,CAÑO NEGRO,SAN ANTONIO,8KM AL OESTE DEL CANO NEGRO DE LOS CHILES,"10,90422662","-84,78009554"
101861-00,1687,LAS DELICIAS,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,LOS CHILES,DELICIAS,COSTA OESTE DE LA PLAZA DE DEPORTES,"10,96281684","-84,50315152"
101862-00,1688,PUERTO ESCONDIDO,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,PITAL,PUERTO ESCONDIDO,2 KM OESTE DEL BANCO NACIONAL DE PITAL,"10,46112855","-84,28609854"
101863-00,1689,LA CRUZ,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,SAN RAMÓN,PEÑAS BLANCAS,LA CRUZ,DE CHACHAGUA DE PEÑAS BLANCAS 4 K. NOROESTE,"10,41794929","-84,57035013"
101865-00,1692,I.D.A. LAS PARCELAS,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,PITAL,EL CARMEN,7 KM NORTE DE GASOLINERA PITAL,"10,49794236","-84,31333454"
101866-00,1693,EL PARQUE,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,LOS CHILES,PARQUE,FRENTE A LA IGLESIA CATOLICA,"10,95134972","-84,66603154"
101867-00,1694,SAN MARCOS,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,SAN MARCOS,75 NORTE DE LA PLAZA DE DEPORTES,"10,60825016","-84,38917157"
101868-00,1695,LA LUCHA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,LA TIGRA,LUCHA,CONTIGUO A LA PLAZA DE DEPORTES,"10,3532701","-84,56972228"
101869-00,1696,EL JARDÍN,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,JARDÍN,FRENTE A LA PLAZA EL JARDIN DE CUTRIS,"10,75347316","-84,28015664"
101870-00,1697,LA ALDEA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,ALDEA,COSTADO OESTE DE LA PLAZA DE DEPORTES,"10,77672934","-84,51280127"
101871-00,1698,SAN RAFAEL,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,SAN RAMÓN,PEÑAS BLANCAS,SAN RAFAEL,"DE PARADA DE BUS 50 ESTE,CONT. AL TEMPLO CAT.","10,39494177","-84,58688431"
101872-00,1699,QUEBRADA GRANDE,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,PITAL,PIEDRA ALEGRE,COSTADO OESTE DE LA PLAZA DE DEPORTES,"10,56341938","-84,30802607"
101873-00,1700,SAN JOAQUÍN,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,SAN JOAQUÍN,COSTADO OESTE DE LA PLAZA DE DEPORTES,"10,67782424","-84,44706832"
101874-00,1701,EL COYOL,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,EL AMPARO,COYOL,CONTIGUO A LA PLAZA DE DEPORTES,"10,81053966","-84,71207359"
101875-00,1702,LOS ÁNGELES,PÚBLICO,DIRECCIÓN REGIONAL ZONA NORTE NORTE,ALAJUELA,GUATUSO,SAN RAFAEL,LOS ÁNGELES,COSTADO ESTE DE LA PULPERIA,"10,60700759","-84,78769451"
101876-00,1703,TIMACAR,PÚBLICO,DIRECCIÓN REGIONAL ZONA NORTE NORTE,ALAJUELA,GUATUSO,SAN RAFAEL,PATASTE,DEL SALON COMUNAL 200M AL ESTE,10.65789905,-84.7378016
101877-00,1704,SAN DIEGO,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,SAN DIEGO,5 KM ESTE DE LA BOMBA DE BUENOS AIRES POCOSOL,"10,58486309","-84,54320498"
101878-00,1705,SAN FERNANDO,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,SAN FERNANDO,16 KM ESTE DE COOPEVEGA,"10,65438969","-84,33827155"
101879-00,1706,MONTELIMAR,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,MONTERREY,MONTELIMAR,DIAGONAL A LA PLAZA DE FUTBOL DE MONTELIMAR,"10,54170131","-84,57370675"
101880-00,1707,PASO REAL,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,PASO REAL,11 KM NORTE DE SAN JOAQUIN,"10,75423914","-84,45390243"
101881-00,1708,BELLA VISTA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,BELLAVISTA,COSTADO ESTE DE LA PLAZA DE FUTBOL,"10,56163666","-84,4234425"
101882-00,1709,SAN JOSÉ,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,AGUAS ZARCAS,FRENTE AL TEMPLO CATOLICO,"10,43563994","-84,34065335"
101883-00,1710,AGUAS NEGRAS,PÚBLICO,DIRECCIÓN REGIONAL ZONA NORTE NORTE,ALAJUELA,LOS CHILES,CAÑO NEGRO,AGUAS NEGRAS,8 KM AL OESTE DE CANO NEGRO DE LOS CHILES,"10,87554412","-84,83800308"
101884-00,1711,LAS NIEVES,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,NIEVES,FRENTE AL TEMPLO CATOLICO,"10,60251126","-84,51339787"
101885-00,1712,LA TESALIA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,QUESADA,CORAZÓN DE JESÚS,CONTIGUO AL SALON COMUNAL,"10,378243","-84,4028173"
101886-00,1713,SAN GABRIEL,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,MONTERREY,LA GARITA,CONTIGUO A LA IGLESIA,"10,67051874","-84,67733977"
101887-00,1714,KOOPER MUELLE,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,KOPPER,"3 KM ESTE DE LA ENTRADA DE KOPPER, CUTRIS","10,48628887","-84,44123821"
101888-00,1715,LINDA VISTA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,QUESADA,LINDAVISTA,CENTRO LINDA VISTA DE LA TESALIA,"10,37123341","-84,41375252"
101889-00,1716,EL CARMEN,PÚBLICO,DIRECCIÓN REGIONAL ZONA NORTE NORTE,ALAJUELA,GUATUSO,SAN RAFAEL,EL CARMEN,FRENTE A LA PLAZA DE DEPORTES,"10,69441065","-84,8102755"
101890-00,1717,EL PORVENIR,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,SAN JORGE,PORVENIR,50 METROS ESTE DEL SALON COMUNAL,10.68537166,-84.63869036
101891-00,1718,TERRÓN COLORADO,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,CUTRIS,TERRON COLORADO,FRENTE A LA PLAZA DE DEPORTES,"10,55416527","-84,48970272"
101892-00,1719,LAS BRISAS,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,BRISAS,3 KM ESTE DE LA ENTRADA DE TRES PERLAS,"10,67090096","-84,52078151"
101893-00,1720,SAN HUMBERTO,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,SAN JORGE,SAN HUMBERTO,200 SUR DEL PUESTO DE CONTROL EN SAN HUMBERTO,"10,69249706","-84,54946351"
101894-00,1721,RON RON ABAJO,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,QUESADA,RON RON ABAJO,6 KM AL OESTE DEL PARQUE DE CIUDAD QUESADA,"10,30208229","-84,45921144"
101895-00,1722,LA LUISA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,LUISA,FRENTE AL SALON COMUNAL,10.62049371,-84.48668221
101896-00,1723,SANTA MARÍA,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,POCOSOL,SANTA MARÍA,FRENTE A LA PLAZA DE DEPORTES,"10,6388886","-84,51980013"
101897-00,1724,WINSTON CHURCHILL SPENCER,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,ORIENTAL,ÁNGELES,BASILICA NUESTRA SENORA DE LOS ANGELES 100SUR,"9,86256738","-83,91400669"
101898-00,1725,NUESTRA SEÑORA DE FÁTIMA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,OCCIDENTAL,FÁTIMA,200M NORTE DE METROCENTRO,"9,87045652","-83,92866255"
102151-00,1982,EL HUMO,PÚBLICO,DIRECCIÓN REGIONAL TURRIALBA,CARTAGO,JIMÉNEZ,PEJIBAYE,HUMO,EL HUMO 25 MTS SUR DEL TEMPLO CATOLICO,"9,80187108","-83,71572695"
101900-00,1727,PIEDRA AZUL,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,SANTIAGO,PIEDRA AZUL,300 SUR IGLESIA CATOLICA PIEDRA AZUL,"9,85661063","-83,80940988"
101443-00,1260,EL LLANO,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,NARANJO,EL ROSARIO,LLANO,1 KM. AL NORTE DEL CRUCE DE GRECIA,"10,03674477","-84,36018446"
101902-00,1729,PRIMO COGHI FERRARI,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,SANTIAGO,AJENJAL,1KM ANTES DE LA REPRESA DE CACHI,"9,8369992","-83,81445772"
101903-00,1730,ALTO DE ARAYA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,OROSI,ALTO ARAYA,1KM ESTE DE LA ENTRADA DE LA ALEGRIA,"9,80184397","-83,84305498"
101904-00,1731,GUABATA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,OROSI,PALOMO,2KM AL NORESTE DE LA IGLESIA DE PALOMO,"9,79356061","-83,82324158"
101905-00,1732,SAN JOSÉ OBRERO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,CIPRESES,BOQUERÓN,DIAGONAL A SODA Y CAFETERIA SAN JOSE,"9,88958319","-83,85402701"
101699-00,1521,EL PALMAR,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,PITAL,PALMAR,COSTADO NORESTE DE LA PLAZA DE DEPORTES,"10,54132441","-84,26707937"
101907-00,1734,JABONCILLO,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,DOTA,COPEY,JABONCILLO,INTERAM SUR KM 80 DER,"9,60359383","-83,7909023"
101908-00,1735,LOS ÁNGELES,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN LORENZO,LOS ÁNGELES,12 KM AL OESTE TEMPLO CATOLICO SAN LORENZO,"9,65028808","-84,0634693"
101909-00,1736,SAN BERNARDO,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN LORENZO,SAN BERNARDO,DOS KM S DEL ABAST STA MTA SAN LORENZO TARR,"9,60837776","-84,03663597"
101910-00,1737,SAN JOAQUÍN,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,CORRALILLO,SAN JOAQUÍN,DIAGONAL TEMPLO CATOLICO DE SN JOAQUIN,"9,78818912","-84,04193579"
101911-00,1738,SAN FRANCISCO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,LA UNIÓN,CONCEPCIÓN,SAN FRANCISCO,CONTIGUO AL SALON COMUNAL DE CONCEPCION.,"9,92660369","-83,99077279"
101249-00,1062,EL PÁRAMO,PÚBLICO,DIRECCIÓN REGIONAL PÉREZ ZELEDÓN,SAN JOSÉ,PÉREZ ZELEDÓN,PARAMO,BERLÍN,SAN MIGUEL DE PARAMO,"9,41199035","-83,74363155"
104557-00,5561,EL PELONCITO,PÚBLICO,DIRECCIÓN REGIONAL LIBERIA,GUANACASTE,LIBERIA,LIBERIA,EL PELONCITO,100 NORTE IGLESIA CATOLICA EL PELONCITO,"10,62242417","-85,43286109"
101914-00,1741,ALTO DE SAN JUAN,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN CARLOS,ALTO SAN JUAN,1 KILOMETRO SUR DE LA PULPERIA EL VIAJERO,"9,62079039","-84,11773795"
101915-00,1742,SAN MARTÍN DE SAN CARLOS,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN CARLOS,SAN CARLOS,DIAGONAL AL TEMPLO CATOLICO,"9,63534671","-84,08077519"
101916-00,1743,PASTOR BARQUERO OBANDO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,LLANO GRANDE,LOS ÁNGELES,FRENTE A LA IGLESIA CATOLICA,"9,92688845","-83,91512086"
101917-00,1744,SANTA ROSA ARRIBA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,SAN ISIDRO,SANTA ROSA,COSTADO SUR DEL TEMPLO CATOLICO,"9,6899448","-84,09949396"
101918-00,1745,BAJO LOS ÁNGELES,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,SAN ANDRÉS,BAJO LOS ÁNGELES,250 MTS NORTE DEL PUENTE PRINCIPAL,"9,74002788","-84,06571406"
101919-00,1746,SAN GABRIEL,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN LORENZO,SAN GABRIEL,COSTADO NORTE DE LA CAPILLA DE SAN GABGRIEL,"9,65093006","-84,05555818"
101920-00,1747,BAJO LA TRINIDAD,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,SAN ISIDRO,TRINIDAD,500 METROS SUR DE LA ERMITA,"9,65789702","-84,08420735"
101921-00,1748,LA GUARIA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,DESAMPARADOS,SAN CRISTÓBAL,EMPALME,DETRAS DE LA BOMBA LA GUARIA EL EMPALME,"9,71797689","-83,95033489"
101922-00,1749,LA LUCHA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,SAN ISIDRO,LA LUCHITA,CONTIGUO A LA PULPERIA LA LUCHITA,"9,74297282","-83,94417113"
101923-00,1750,CASAMATA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,SAN ISIDRO,CASAMATA,KM 48 CARRETERA INTERAMERICA SUR,"9,77768183","-83,99033636"
101924-00,1751,SIXTO CORDERO MARTÍNEZ,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,QUEBRADILLA,BERMEJO,FRENTE AL TEMPLO CATOLICO DE BERMEJO,"9,86039556","-83,99360119"
101925-00,1752,RESCATE DE UJARRÁS,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,LLANOS DE SANTA LUCIA,SANTA LUCIA,50 M SUR GUARDIA RURAL,"9,83938344","-83,87727988"
101926-00,1753,LA CIMA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,LA UNIÓN,DULCE NOMBRE,LA CIMA,150 M SUROESTE DEL HOSPITAL CHACON PAUT,"9,93230638","-83,97816752"
101467-00,1285,EL ROSARIO,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,NARANJO,EL ROSARIO,EL ROSARIO,50 M. NOROESTE DE LA ENTRADA CALLE PEREZ,"10,05193798","-84,36864742"
101928-00,1755,VICENTE LACHNER SANDOVAL,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,PARAÍSO,BIRRISITO,175M OESTE DEL TEMPLO CATOLICO DE BIRRISITO,"9,84910541","-83,84581615"
101929-00,1756,LA PASTORA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,ALVARADO,PACAYAS,PASTORA,SOBRE EL KM27 EN RUTA SOBRE CARRETERA AL VOLC,"9,9612171","-83,83592031"
101930-00,1757,QUEBRADA SECA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN CARLOS,QUEBRADA SECA,FRENTE AL TEMPLO CATOLICO,"9,63568878","-84,10384184"
101931-00,1758,PROCESO SOLANO RAMÍREZ,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,DULCE NOMBRE,CABALLO BLANCO,100 ESTE Y 50 SUR DE TEMPLO CATOLICO,"9,85089571","-83,90064025"
101932-00,1759,FLORENCIO DEL CASTILLO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,CACHI,CACHI,200 ESTE DEL EBAIS,"9,82455397","-83,80190094"
101933-00,1760,CACIQUE GUARCO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,EL TEJAR,SANTA GERTRUDIS,DEL MEGASUPER DEL PARQUE INDUSTRIAL 500M ESTE,"9,85105573","-83,94466991"
101934-00,1761,LA PASTORA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN MARCOS,ALTO PASTORA,2 KM AL SUR DE GUADALUPE DE TARRAZU,"9,6411981","-83,9972122"
101935-00,1762,ARGENTINA GONGORA DE ROBERT,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,POTRERO CERRADO,POTRERO CERRADO,DE CASETA DE VOLCAN IRAZU 8K NORTE,"10,01156838","-83,83494128"
101936-00,1763,LA ASUNCIÓN,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,EL TEJAR,ASUNCIÓN,800 M ESTE DE LA BASILICA DE EL TEJAR,"9,84408993","-83,92988703"
101937-00,1764,ENCARNACIÓN GAMBOA PIEDRA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,ALVARADO,CAPELLADES,CAPELLADES,CONTIGUO AL SALON PARROQUIAL,"9,92274549","-83,78670963"
101938-00,1765,CARAGRAL,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,EL TEJAR,EL TEJAR,100 M SUR DEL TEMPLO CATOLICO,"9,78085092","-84,02358214"
101939-00,1766,CARRIZAL,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,SAN PABLO,CARRIZALES,COSTADO OESTE DE LA ERMITA,"9,67615184","-84,05686641"
101940-00,1767,SAN VICENTE,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,LA UNIÓN,SAN RAFAEL,SAN VICENTE,DEL CENTRO DE SALUD 200MTS SUR Y 100M OESTE,"9,90028452","-83,97733734"
101941-00,1768,GUAYABAL,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,EL TEJAR,EL TEJAR,"FTE  SALON EVENTOS TERRACOTA, GUAYABAL","9,83733144","-83,93852238"
101942-00,1769,VIRGEN DE SANTA JUANA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,PUNTARENAS,QUEPOS,NARANJITO,SANTA JUANA,COSTADO NO DE LA PLAZA DE DEPORTES,"9,53357774","-84,08291144"
101943-00,1770,LUIS CRUZ MEZA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,ALVARADO,CERVANTES,EL ALTO,100 NORTE DE LA IGLESIA CATOLICA,"9,88767381","-83,80891817"
101944-00,1771,LA GUARIA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,CORRALILLO,LA GUARIA,100M OESTE DE LA PULPERIA LA SHELL,"9,77657837","-84,05631927"
101945-00,1772,SANTA JUANA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,LLANO BONITO,SANTA JUANA,CONTIGUO A LA PLAZA DE FUTBOL.,"9,6459499","-84,12204661"
101946-00,1773,CIPRESES,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,CIPRESES,CIPRESES,COSTADO OESTE PLAZA DE DEPORTES,"9,88994632","-83,84338711"
101947-00,1774,ORATORIO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,CIPRESES,ORATORIO,DE LA IGLESIA CATOLICA 100M ESTE Y 100M NORTE,"9,89852439","-83,83261786"
101948-00,1776,FERNANDO TERÁN VALLS,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,LA UNIÓN,CONCEPCIÓN,CONCEPCIÓN,FRENTE A LA IGLESIA INMACULADA CONCEPCION,"9,92557403","-84,00065345"
101949-00,1777,COPALCHI,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,QUEBRADILLA,COPALCHI,COSTADO NORTE DE PLAZA DE DEPORTES DE COPALCH,"9,81978732","-84,03373777"
101950-00,1778,CORIS,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,QUEBRADILLA,CORIS,COSTADO SUR DEL TEMPLO CATOLICO DE CORIS,"9,86657108","-83,99030847"
101951-00,1779,CORRALILLO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,CORRALILLO,CORRALILLO,"COSTADO NORTE DE PLAZA DE FUTBOL,CORRALILLO","9,79381507","-84,03605204"
101952-00,1780,LEÓN CORTÉS CASTRO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,COT,COT,DIAGONAL A LA PLAZA DE DEPORTES DE COT.,"9,89476117","-83,87405577"
101953-00,1781,SAN CRISTÓBAL NORTE,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,SAN JOSÉ,DESAMPARADOS,SAN CRISTÓBAL,SAN CRISTÓBAL NORTE,3 KM AL SUR OESTE DE CASA MATA,"9,76952462","-84,00753071"
101954-00,1782,CORAZÓN DE JESÚS,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,SAN RAFAEL,ALTO CERRILLOS,125M ESTE DE LA PLAZA DE DEPORTES,"9,86847294","-83,89144181"
103821-00,3733,EL TIGRE,PÚBLICO,DIRECCIÓN REGIONAL AGUIRRE,PUNTARENAS,PARRITA,PARRITA,TIGRE,COSTADO ESTE DE LA PLAZA DE DEPORTES,"9,54579193","-84,33283717"
101956-00,1784,JOSÉ JOAQUÍN PERALTA ESQUIVEL,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,EL GUARCO,TOBOSI,BARRANCAS,600 M OESTE DE RTV CARTAGO,"9,84665726","-83,95781002"
101957-00,1785,OJO DE AGUA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,SAN ANDRÉS,OJO DE AGUA,"OJO DE AGUA, FRENTE A LA PLAZA DE DEPORTES","9,72878468","-84,09316447"
101958-00,1786,DOMINGO FAUSTINO SARMIENTO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,DULCE NOMBRE,DULCE NOMBRE,FRENTE A LA PARROQUIA DE DULCE NOMBRE,"9,84547966","-83,90863972"
104286-00,4440,ENSEÑANZA ESPECIAL DE GRECIA,PÚBLICO,DIRECCIÓN REGIONAL ALAJUELA,ALAJUELA,GRECIA,GRECIA,COLON,CONTIGUO AL POLIDEPORTIVO GRIEGO,"10,07532835","-84,30690714"
101960-00,1788,EL BOSQUE,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,OREAMUNO,SAN RAFAEL,BOSQUE,1 KM ESTE DEL PALI LOS ANGELES,"9,86300533","-83,90177166"
101961-00,1789,MANUEL ORTUÑO BOUTIN,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,CARTAGO,EL GUARCO,SAN ISIDRO,CAÑÓN,KM 57 CARRET INTERAM SUR,"9,68318721","-83,91935955"
101962-00,1790,JULIÁN VOLIO LLORENTE,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,CARMEN,CARMEN,800 NORTE PARQUE CENTRAL CARTAGO...,"9,8724409","-83,92060839"
101963-00,1791,EL CEDRAL,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,SANTA CRUZ,CEDRAL,200MTS ESTE DEL TEMPLO CATOLICO,"9,71812393","-83,9880073"
101964-00,1792,PEDRO PÉREZ ZELEDÓN,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,DOTA,COPEY,COPEY,CENTRO COPEY DE DOTA PROVINCIA SAN JOSE,"9,6455251","-83,916987"
101965-00,1793,EL EMPALME,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,SAN JOSÉ,DESAMPARADOS,SAN CRISTÓBAL,EMPALME,EL EMPALME CENTRO,"9,73285638","-83,95067392"
101966-00,1794,SAN LUIS,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,LEÓN CORTES,LLANO BONITO,SAN LUIS,2.5 KM AL SURESTE DEL CEMENTERIO LOCAL DE LLA,"9,65061246","-84,09101506"
101967-00,1795,EL JARDÍN,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,DOTA,EL JARDÍN,JARDÍN,COSTADO SUR DE LA ERMITA,"9,71271553","-83,96890158"
101968-00,1796,HÉCTOR MONESTEL SOLANO,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,AGUACALIENTE O SAN FRANCISCO,MUÑECO,8KM AL SE DEL CEMENTERIO DE LOURDES,"9,79079192","-83,90928073"
101969-00,1797,ÁLVARO ESQUIVEL BONILLA,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,PARAÍSO,OROSI,RIO MACHO,FRENTE A LA PLANTA DEL ICE,"9,77730651","-83,84207148"
101970-00,1798,EL RODEO,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,TARRAZÚ,SAN MARCOS,RODEO,500 MTS SUR DEL SALON COMUNAL,"9,67254203","-84,01645982"
